Model,ImageNet,CIFAR-100,V4,IT,IT (new data),IT (new images),Behavior,Behavior (new data),V4 (early),V4 (late),IT (early),IT (late),OST,Brain-Score,Depth,V4 number of features,IT number of features,Paper
BaseNet6 s112_occ_noV1stride_2--20000,0.1231,,0.6369468970000001,0.52250679,,,0.15310335060923383,,,,,,0.0,0.3281392594023085,6.0,,,
BaseNet6 s112_occ_noV1stride_1--40000,0.18704,,0.632164677,0.526647333,,,0.15303075290784202,,,,,,0.0,0.32796069072696055,6.0,,,
BaseNet6 s112_occ_noV1stride_5--40000,0.19297999999999998,,0.636316391,0.5241504370000001,,,0.14565688475384145,,,,,,0.0,0.3265309281884604,6.0,,,
BaseNet6 s112_gray_noV1stride_2--20000,0.11295999999999999,,0.639803597,0.526466951,,,0.13520549698509812,,,,,,0.0,0.32536901124627454,6.0,,,
BaseNet6 s112_2_noV1stride--20000,0.14,,0.632855654,0.528149181,,,0.13934302780174873,,,,,,0.0,0.32508696570043716,6.0,,,
BaseNet6 s112_occ_noV1stride_1--20000,0.12048,,0.638062479,0.527059763,,,0.1322955590365223,,,,,,0.0,0.32435445025913057,6.0,,,
BaseNet6 s56_1_noV1stride--60000,0.2194,,0.575313423,0.514282547,,,0.20313299511520258,,,,,,0.0,0.32318224127880063,6.0,,,
BaseNet6 s112_occ_noV1stride_4--20000,0.1451,,0.634181298,0.521944324,,,0.13582978880791707,,,,,,0.0,0.3229888527019793,6.0,,,
BaseNet6 125_0--80000,0.22194000000000003,,0.609783747,0.52541735,,,0.1558446546129891,,,,,,0.0,0.32276143790324724,6.0,,,
BaseNet6 125_0--100000,0.27140000000000003,,0.6106901029999999,0.5268641829999999,,,0.15297343200263108,,,,,,0.0,0.3226319295006577,6.0,,,
BaseNet6 75_3--80000,0.21805999999999998,,0.614793555,0.5304417020000001,,,0.1427346963778991,,,,,,0.0,0.32199248834447475,6.0,,,
BaseNet6 25_0--20000,0.11802,,0.6456523989999999,0.518639055,,,0.12022080000415743,,,,,,0.0,0.3211280635010393,6.0,,,
BaseNet6 125_0--60000,0.15514,,0.617286706,0.515476904,,,0.14979061483024292,,,,,,0.0,0.32063855620756077,6.0,,,
BaseNet6 75_3--100000,0.25052,,0.6129309239999999,0.528260148,,,0.13863977819359175,,,,,,0.0,0.3199577125483979,6.0,,,
BaseNet6 s112_occ_noV1stride_5--20000,0.1276,,0.6360685970000001,0.523207526,,,0.11776053432839045,,,,,,0.0,0.31925916433209767,6.0,,,
BaseNet6 50_s112_2--60000,0.20875999999999997,,0.587683639,0.521399955,,,0.1655819627981695,,,,,,0.0,0.3186663891995424,6.0,,,
